stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
LIG넥스원,630.0,940.0,940.0,500.0,500.0,600.0,900.0,1200.0,1500.0
LS,1250.0,1250.0,1250.0,1250.0,1250.0,1450.0,1450.0,1450.0,1550.0
LS ELECTRIC,,,,,,,,,
LS네트웍스,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LS전선아시아,0.0,250.0,150.0,160.0,160.0,180.0,200.0,240.0,250.0
LX세미콘,600.0,1000.0,900.0,700.0,830.0,830.0,1350.0,5400.0,4500.0
LX인터내셔널,300.0,200.0,250.0,250.0,250.0,300.0,400.0,2300.0,3000.0
LX하우시스,1800.0,1800.0,1800.0,1800.0,250.0,250.0,300.0,300.0,200.0
LX홀딩스,,,,,,,0.0,0.0,310.0
MDS테크,270.0,280.0,280.0,200.0,250.0,0.0,0.0,0.0,0.0
MH에탄올,200.0,250.0,300.0,350.0,350.0,350.0,350.0,350.0,250.0
MIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAVER,782.0,1100.0,1131.0,1446.0,314.0,376.0,402.0,511.0,914.0
NEW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE능률,50.0,100.0,70.0,50.0,0.0,0.0,40.0,60.0,60.0
NHN,,,,,,,,,
NHN벅스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH올원리츠,,,,,,,0.0,106.0,154.0
NH투자증권,160.0,400.0,400.0,500.0,500.0,500.0,700.0,1050.0,700.0
NH프라임리츠,,,,0.0,0.0,0.0,125.0,123.0,110.0
NICE,110.0,120.0,130.0,130.0,180.0,230.0,270.0,375.0,410.0
NICE평가정보,100.0,120.0,130.0,140.0,190.0,230.0,275.0,330.0,370.0
NI스틸,50.0,50.0,50.0,50.0,50.0,50.0,50.0,75.0,100.0
NPC,,,,,,,,,
OCI,200.0,0.0,400.0,1950.0,850.0,0.0,0.0,2000.0,2500.0
PI첨단소재,0.0,110.0,450.0,800.0,830.0,315.0,711.0,1090.0,779.0
PN풍년,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
POSCO홀딩스,8000.0,8000.0,8000.0,8000.0,10000.0,10000.0,8000.0,17000.0,12000.0
RFHIC,0.0,0.0,0.0,50.0,200.0,200.0,100.0,150.0,100.0
RF머트리얼즈,,,,0.0,0.0,0.0,0.0,0.0,100.0
S&K폴리텍,0.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0
