stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
NE능률,291.0,535.0,522.0,50.0,0.0,0.0,0.0,0.0,0.0
NHN,,,,,,,,,
NHN벅스,632.0,366.0,251.0,346.0,407.0,341.0,292.0,100.0,187.0
NH올원리츠,,,,,,,630.0,82.0,83.0
NH투자증권,388.0,719.0,789.0,1167.0,1203.0,1585.0,1923.0,3071.0,881.0
NH프라임리츠,,,,0.0,0.0,609.0,0.0,0.0,0.0
NICE,848.0,787.0,1473.0,1388.0,1604.0,771.0,447.0,1548.0,1012.0
NICE평가정보,294.0,366.0,466.0,512.0,641.0,682.0,789.0,915.0,882.0
NI스틸,186.0,250.0,360.0,386.0,358.0,224.0,424.0,771.0,1706.0
NPC,,,,,,,,,
OCI,835.0,4206.0,10151.0,9849.0,4352.0,33308.0,10381.0,27387.0,36941.0
PI첨단소재,660.0,578.0,714.0,1116.0,1191.0,603.0,1421.0,2179.0,1557.0
PN풍년,0.0,0.0,0.0,0.0,0.0,0.0,256.0,228.0,189.0
POSCO홀딩스,7432.0,1845.0,16627.0,34464.0,20911.0,22823.0,20165.0,87330.0,41456.0
RFHIC,0.0,7.0,18.0,293.0,1084.0,857.0,83.0,239.0,106.0
RF머트리얼즈,,,,0.0,0.0,0.0,171.0,230.0,411.0
S&K폴리텍,177.0,222.0,328.0,374.0,728.0,1368.0,556.0,339.0,117.0
S-Oil,2473.0,5422.0,10353.0,10706.0,2216.0,561.0,6839.0,11840.0,18075.0
SAMG엔터,,,,,,,195450.0,4152.0,3894.0
SBI인베스트먼트,11.0,8.0,19.0,17.0,16.0,71.0,86.0,138.0,93.0
SBI핀테크솔루션즈,70.0,114.0,204.0,197.0,353.0,414.0,404.0,345.0,242.0
SBS,371.0,1929.0,29.0,850.0,275.0,1114.0,3569.0,7693.0,8623.0
SBS콘텐츠허브,409.0,283.0,145.0,283.0,385.0,26.0,389.0,767.0,497.0
SBW생명과학,0.0,0.0,0.0,42.0,32.0,148.0,12.0,185.0,91.0
SCI평가정보,5.0,21.0,11.0,3.0,44.0,141.0,179.0,168.0,68.0
SDN,301.0,27.0,28.0,78.0,52.0,93.0,176.0,57.0,14.0
SFA반도체,308.0,1823.0,51.0,68.0,90.0,146.0,102.0,322.0,262.0
SG,,,,1203.0,290.0,287.0,23.0,350.0,80.0
